id,name,lat,lng,formation,minerals,confidence,description,source_file,source_date
point_1,Cuyuni River Alluvial - Point 1,6.535264201981537,-58.79011105411461,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,"Report on the Gold and Management Deposits of the Lower Barama River, North West District-1_1755482212.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.954271717414352,-59.82766476727737,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,"Report on the Gold and Management Deposits of the Lower Barama River, North West District-1_1755482212.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.20159451534454,-59.70115615139908,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,"Report on the Gold and Management Deposits of the Lower Barama River, North West District-1_1755482212.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.938848653415406,-58.37165269537079,Major river system,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,"Report on the Gold and Management Deposits of the Lower Barama River, North West District-1_1755482212.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.166231169958515,-59.40637973005451,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,"Report on the Gold and Management Deposits of the Lower Barama River, North West District-1_1755482212.txt",2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.5565762152084,-58.83989615185164,River alluvial deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,"Geology And Mineral Deposits of The Upper Waini River, N.W.D_1755481859.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.9236677117357805,-59.71167452922117,Floodplain deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,"Geology And Mineral Deposits of The Upper Waini River, N.W.D_1755481859.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.099180493367644,-59.80945270277946,Deltaic deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,"Geology And Mineral Deposits of The Upper Waini River, N.W.D_1755481859.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.896963830857251,-58.347224815951805,Major river system,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,"Geology And Mineral Deposits of The Upper Waini River, N.W.D_1755481859.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.21027169757068,-59.20852067948319,Highland river deposits,"['Gold', 'Manganese', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,"Geology And Mineral Deposits of The Upper Waini River, N.W.D_1755481859.txt",2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.472160826595167,-58.76181455624718,River alluvial deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,"Report on The Aranka Goldfield , cuyuni river_1755483669.txt",2025-08-29
point_2,Barama River Alluvial - Point 2,7.9967298020174375,-59.75385104351038,Floodplain deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Floodplain deposits,"Report on The Aranka Goldfield , cuyuni river_1755483669.txt",2025-08-29
point_3,Waini River Alluvial - Point 3,8.107833275606962,-59.69964584600703,Deltaic deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Deltaic deposits,"Report on The Aranka Goldfield , cuyuni river_1755483669.txt",2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.743827081884998,-58.578601864912606,Major river system,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Major river system,"Report on The Aranka Goldfield , cuyuni river_1755483669.txt",2025-08-29
point_5,Potaro River Alluvial - Point 5,5.01736907880295,-59.15521059322739,Highland river deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. Highland river deposits,"Report on The Aranka Goldfield , cuyuni river_1755483669.txt",2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.302233417945032,-58.87013551415629,River alluvial deposits,['Gold'],low,Generated from geological analysis. River alluvial deposits,Geological Survey Of British Guiana_1755482009.txt,2025-08-29
point_2,Barama River Alluvial - Point 2,7.61090827578407,-59.86455701245992,Floodplain deposits,['Gold'],low,Generated from geological analysis. Floodplain deposits,Geological Survey Of British Guiana_1755482009.txt,2025-08-29
point_3,Waini River Alluvial - Point 3,8.065492073318413,-59.924740594633214,Deltaic deposits,['Gold'],low,Generated from geological analysis. Deltaic deposits,Geological Survey Of British Guiana_1755482009.txt,2025-08-29
point_4,Essequibo River Alluvial - Point 4,6.751313429521361,-58.6698670353027,Major river system,['Gold'],low,Generated from geological analysis. Major river system,Geological Survey Of British Guiana_1755482009.txt,2025-08-29
point_5,Potaro River Alluvial - Point 5,5.3588971898837645,-59.17830794376351,Highland river deposits,['Gold'],low,Generated from geological analysis. Highland river deposits,Geological Survey Of British Guiana_1755482009.txt,2025-08-29
point_1,Cuyuni River Alluvial - Point 1,6.688638027397981,-58.836143863075094,River alluvial deposits,"['Gold', 'Iron', 'Lead', 'Diamond']",high,Generated from geological analysis. River alluvial deposits,Geology And Gold Deposits_1755481947.txt,2025-08-29
